skuprd,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,size,size_quantity,size_extra_price,colors,tags,youtube,policy,meta_tag,meta_description,product_type,affiliate_link,attributes
35450,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper Baking Kit Double Choc Chip Muffins with Dark Chocolate Chips 260g,https://theqlocal.com/assets/images/Images/imagenameTyoBt.jpg,Chocolate muffin mix with dark chocolate chipsSuitable for VegetariansSuitable for Vegetarians(Not including the weight of the cakes cases)Number of uses/Servings 6Makes 6 muffinsBox Contents 1 x 260g Sachet of Muffin Mix 6 Muffin Cases,5.35,,,,,,,"Happy Shopper Baking Kit Double Choc Chip Muffins with Dark Chocolate Chips 260g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper Baking Kit Double Choc Chip Muffins with Dark Chocolate Chips 260g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper Baking Kit Double Choc Chip Muffins with Dark Chocolate Chips 260g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 5""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""260g""],""prices"":[""0""],""details_status"":1}}"
35451,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper Baking Kit Fairy Cakes with Icing Sugar and Sugar Strands 227g,https://theqlocal.com/assets/images/Images/imagenameYCuDK.jpg,Vanilla flavour sponge mix with an icing mix and multicoloured sugar strandsNo artificial coloursSuitable for VegetariansSuitable for Vegetarians(Not including the weight of the bun cases)Number of uses/Servings 12Makes 12 CakesBox Contents 1 x 140g Sachet of Sponge Mix 1 x 75g Sachet of Icing Sugar 1 x 12 Sachet of Sugar Strands 12 Bun Cases,5.35,,,,,,,"Happy Shopper Baking Kit Fairy Cakes with Icing Sugar and Sugar Strands 227g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper Baking Kit Fairy Cakes with Icing Sugar and Sugar Strands 227g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper Baking Kit Fairy Cakes with Icing Sugar and Sugar Strands 227g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 5""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""227g""],""prices"":[""0""],""details_status"":1}}"
35452,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper Baking Kit Victoria Sponge Cake with Strawberry Jam 410g,https://theqlocal.com/assets/images/Images/imagenameEBosz.jpg,A mix for sponge cake with icing sugar and strawberry jamSuitable for vegetariansSuitable for Vegetarians 000719Number of uses/Servings 8Contains 8 portionsBox Contents 1 x 300g Sachet of Sponge Mix 1 x 60g Sachet of Icing Mix 1 x 50g Sachet of Strawberry Jam,6.69,,,,,,,"Happy Shopper Baking Kit Victoria Sponge Cake with Strawberry Jam 410g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper Baking Kit Victoria Sponge Cake with Strawberry Jam 410g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper Baking Kit Victoria Sponge Cake with Strawberry Jam 410g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 5""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""410g""],""prices"":[""0""],""details_status"":1}}"
35453,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper Baking Mix Chocolate Brownies with Dark Chocolate Chunks 284g,https://theqlocal.com/assets/images/Images/imagenameYWBUf.jpg,Chocolate brownie mix with dark chocolate chunksSuitable for VegetariansSuitable for VegetariansNumber of uses/Servings 12Contains 12 portionsBox Contents 1 x 284g Sachet of Chocolate Brownie Mix,6.69,,,,,,,"Happy Shopper Baking Mix Chocolate Brownies with Dark Chocolate Chunks 284g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper Baking Mix Chocolate Brownies with Dark Chocolate Chunks 284g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper Baking Mix Chocolate Brownies with Dark Chocolate Chunks 284g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 5""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""284g""],""prices"":[""0""],""details_status"":1}}"
35454,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper Currants 375g,https://theqlocal.com/assets/images/Images/imagenameuxTWe.jpg,Currants1 of your 5 a daySuitable for VegetariansSuitable for Vegetarians1 of your 5 a day A 30g serving of this product will provide one of your five daily portions of fruit and vegetables.,10.49,,,,,,,"Happy Shopper Currants 375g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper Currants 375g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper Currants 375g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 6""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""375g""],""prices"":[""0""],""details_status"":1}}"
35455,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper Dried Mixed Fruit 375g,https://theqlocal.com/assets/images/Images/imagenamePLfLA.jpg,Mixed Vine Fruits with Orange and Lemon Peel.1 of your 5 a daySuitable for VegetariansSuitable for Vegetarians1 of your 5 a day A 30g serving of this product will provide one of your five daily portions of fruit and vegetables.,10.49,,,,,,,"Happy Shopper Dried Mixed Fruit 375g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper Dried Mixed Fruit 375g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper Dried Mixed Fruit 375g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 6""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""375g""],""prices"":[""0""],""details_status"":1}}"
35456,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper Plain Flour 1kg,https://theqlocal.com/assets/images/Images/imagenameJCsMF.jpg,Wheat Flour,8.09,,,,,,,"Happy Shopper Plain Flour 1kg,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper Plain Flour 1kg,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper Plain Flour 1kg,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 8""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""1kg""],""prices"":[""0""],""details_status"":1}}"
35457,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper Plain Flour 500g,https://theqlocal.com/assets/images/Images/imagenamegDKue.jpg,Wheat Flour,8.45,,,,,,,"Happy Shopper Plain Flour 500g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper Plain Flour 500g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper Plain Flour 500g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 12""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""500g""],""prices"":[""0""],""details_status"":1}}"
35458,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper Raisins 375g,https://theqlocal.com/assets/images/Images/imagenameQiZfq.jpg,Raisins1 of your 5 a daySuitable for VegetariansSuitable for Vegetarians1 of your 5 a day A 30g serving of this product will provide one of your five daily portions of fruit and vegetables.,10.49,,,,,,,"Happy Shopper Raisins 375g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper Raisins 375g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper Raisins 375g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 6""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""375g""],""prices"":[""0""],""details_status"":1}}"
35459,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper SelfRaising Flour 1kg,https://theqlocal.com/assets/images/Images/imagenameQnLsV.jpg,Wheat Flour Containing Raising Agents,8.09,,,,,,,"Happy Shopper SelfRaising Flour 1kg,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper SelfRaising Flour 1kg,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper SelfRaising Flour 1kg,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 8""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""1kg""],""prices"":[""0""],""details_status"":1}}"
35460,Grocery  Retail,Baking Ingredients Retail,,Happy Shopper SelfRaising Flour 500g,https://theqlocal.com/assets/images/Images/imagenameBMEGe.jpg,Wheat Flour Containing Raising Agents,8.45,,,,,,,"Happy Shopper SelfRaising Flour 500g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",,Test policy,"Happy Shopper SelfRaising Flour 500g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient","Happy Shopper SelfRaising Flour 500g,GroceryCatering,Groceryuk,Cateringessex,Grocery Retail,Baking Ingredients Retail,UnitedKingdom,Uk,Essex,Wholesalers,Grocery,Groceryuk,GroceryEssex,Convenientstore,Convenient",normal,,"{""pack_size"":{""values"":[""Case Of 12""],""prices"":[""0""],""details_status"":1},""weight"":{""values"":[""500g""],""prices"":[""0""],""details_status"":1}}"
